"","NewTitle","Release_Date.x","Number","Movie_Title","Movie_Type","National_Spectator_Number","Running_Time","Revenue","Spectator_Number","Screen_Number","Play_Number","Movie_Category","Release_Date.y","Nationality_First","Distributor","Movie_Rate","Genre_Name","Genre1","Genre3","Genre3","Director_Name","Director1","Director3","Director3","Actor_Name","Actor1","Actor3","Actor3"
"2638","에반올마이티",2007-07-25,"1,062 ","에반 올마이티","장편",262291,95,1487273600,236687,199,7766,"일반영화","2007-07-25","미국","유니버설픽쳐스인터내셔널 코리아(유)","전체관람가",2,"코미디","판타지","",1,"톰 새디악","","",2,"스티브 카렐","모건 프리먼",""
"3161","장고분노의추적자",2013-03-21,"1,063 ","장고:분노의 추적자","장편",260144,165,1883634000,260144,342,11792,"일반영화","2013-03-21","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","청소년관람불가",2,"서부극(웨스턴)","드라마","",1,"쿠엔틴 타란티노","","",6,"레오나르도 디카프리오","제이미 폭스","크리스토프 왈츠"
"3610","킹덤",2007-11-01,"1,064 ","킹덤","장편",258419,109,1638510000,244615,159,12118,"일반영화","2007-11-01","미국","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가",2,"액션","스릴러","",1,"피터 버그","","",2,"제이미 폭스","제니퍼 가너",""
"1326","맥스페인",2008-11-20,"1,065 ","맥스 페인","장편",257808,100,1631146500,258067,150,11794,"일반영화","2008-11-20","미국","이십세기폭스코리아(주)","15세이상관람가",3,"범죄","스릴러","액션",1,"존 무어","","",3,"밀라 쿠니스","마크 웰버그","마크 월버그"
"3785","파이널데스티네이션5",2011-09-08,"1,066 ","파이널 데스티네이션5","장편",257193,92,2370348500,257193,168,9325,"일반영화","2011-09-08","미국","워너브러더스 (주)","청소년관람불가",2,"공포(호러)","액션","",1,"스티븐 쿼일","","",1,"데이비드 코에너","",""
"2374","쓰리데이즈",2010-12-22,"1,067 ","쓰리 데이즈","장편",257106,133,1996084500,272496,347,8887,"다양성영화","2010-12-22","미국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",3,"범죄","스릴러","액션",1,"폴 해기스","","",2,"러셀 크로우","엘리자베스 뱅크스",""
"3448","카우보이에이리언",2011-08-11,"1,068 ","카우보이 & 에이리언","장편",256346,118,1930249000,256346,269,8244,"일반영화","2011-08-11","미국","씨제이이앤엠(주)","15세이상관람가",3,"액션","SF","스릴러",1,"존 파브로","","",4,"다니엘 크레이그","해리슨 포드","올리비아 와일드"
"420","까불지마",2004-12-03,"1,069 ","까불지마","장편",255967,100,999160000,155308,90,6418,"일반영화","2004-12-03","한국","영화사청어람(주)","15세관람가",1,"드라마","","",1,"오지명","","",15,"오지명","최불암","노주현"
"2365","쏘우",2005-03-10,"1,070 ","쏘우","장편",255636,100,1553548500,240745,99,8841,"일반영화","2005-03-10","미국","(주)영화사한결","18세관람가",2,"스릴러","공포(호러)","",1,"제임스 완","","",2,"캐리 엘위스","리 워넬",""
"87","pm1114",2005-06-02,"1,071 ","pm 11:14","장편",255240,85,1472278500,228934,78,6943,"일반영화","2005-06-02","미국","쇼박스㈜미디어플렉스","15세관람가",4,"드라마","스릴러","범죄",1,"그레그 마크스","","",2,"힐러리 스웽크","패트릭 스웨이즈",""
"1912","사랑하니까괜찮아",2006-08-17,"1,072 ","사랑하니까, 괜찮아","장편",254887,111,1296756200,219824,155,8194,"일반영화","2006-08-17","한국","(주)시네마서비스","12세관람가",2,"멜로/로맨스","드라마","",1,"곽지균","","",7,"지현우","임정은","김송희"
"12","13구역",2006-08-24,"1,073 ","13구역","장편",253838,85,1416115000,222568,72,6324,"일반영화","2006-08-24","프랑스","(주)프라임엔터테인먼트","15세관람가",2,"액션","SF","",1,"피에르 모렐","","",2,"시릴 라파엘리","데이빗 벨",""
"1514","미트페어런츠2",2005-04-15,"1,074 ","미트 페어런츠2","장편",253383,115,1532798500,235418,135,10029,"일반영화","2005-04-15","미국","씨제이엔터테인먼트(주)","15세관람가",1,"코미디","","",1,"제이 로치","","",3,"더스틴 호프만","벤 스틸러","로버트 드니로"
"1040","러브트러블",2007-06-14,"1,075 ","러브 & 트러블","장편",252476,90,1775819000,264393,174,14185,"일반영화","2007-06-14","프랑스","(주)프라임엔터테인먼트","15세이상관람가",2,"멜로/로맨스","코미디","",1,"알렉 케시시안","","",2,"브리트니 머피","샌티에고 카브레라",""
"1597","밤의여왕",2013-10-17,"1,076 ","밤의 여왕","장편",252475,113,1762892500,252475,333,13286,"일반영화","2013-10-17","한국","(주)인벤트스톤","15세이상관람가",2,"멜로/로맨스","코미디","",1,"김제영","","",6,"천정명","김민정","우상기"
"264","국경의남쪽",2006-05-04,"1,077 ","국경의 남쪽","장편",252457,109,1431751800,227304,228,12643,"일반영화","2006-05-04","한국","씨제이엔터테인먼트(주)","12세관람가",1,"드라마","","",1,"안판석","","",26,"차승원","심혜진","유해진"
"1736","불신지옥",2009-08-12,"1,078 ","불신지옥","장편",251314,112,1795734500,248284,237,10821,"일반영화","2009-08-12","한국","쇼박스㈜미디어플렉스","15세이상관람가",2,"미스터리","공포(호러)","",1,"이용주","","",8,"남상미","류승룡","김보연"
"3876","포가튼",2004-12-03,"1,079 ","포가튼","장편",251024,97,1281609500,198010,65,5343,"일반영화","2004-12-03","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","15세관람가",1,"스릴러","","",1,"조셉 루벤","","",2,"크리스토퍼 코바레스키","줄리안 무어",""
"1078","레이",2005-02-25,"1,080 ","레이","장편",250900,152,1417402500,214415,67,5744,"다양성영화","2005-02-25","미국","UIP코리아","15세관람가",1,"드라마","","",1,"테일러 핵포드","","",2,"케리 워싱턴","제이미 폭스",""
"4238","히어로",2007-11-01,"1,081 ","히어로","장편",249463,129,1581123000,245782,229,13144,"일반영화","2007-11-01","일본","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가",1,"드라마","","",1,"스즈키 마사유키","","",2,"기무라 다쿠야","마츠 다카코",""
"4239","히어로",2007-11-01,"1,081 ","히어로","장편",249463,129,1581123000,245782,229,13144,"일반영화","2010-11-18","한국","(주)씨타마운틴픽쳐스","15세이상관람가",2,"드라마","공포(호러)","",1,"김홍익","","",8,"김형규","한정우","한예원"
"4240","히어로",2007-11-01,"1,081 ","히어로","장편",249463,129,1581123000,245782,229,13144,"일반영화","2013-10-08","한국","(주)마인스 엔터테인먼트","전체관람가",3,"가족","SF","드라마",2,"김봉한","임경택","",13,"오정세","박철민","정은표"
"172","걸스카우트",2008-06-05,"1,082 ","걸스카우트","장편",249114,99,1545587500,248813,265,13200,"일반영화","2008-06-05","한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",3,"드라마","범죄","코미디",1,"김상만","","",33,"나문희","김선아","고준희"
"626","노크낯선자들의방문",2008-07-02,"1,083 ","노크:낯선 자들의 방문","장편",248943,85,1569944000,248807,180,10562,"일반영화","2008-07-02","미국","영화사청어람(주)","15세이상관람가",2,"공포(호러)","스릴러","",1,"브라이언 버티노","","",3,"스캇 스피드맨","리브 타일러","젬마 워드"
"2567","어느멋진순간",2006-11-16,"1,084 ","어느 멋진 순간","장편",248711,117,1206230500,193013,130,7649,"일반영화","2006-11-16","미국","이십세기폭스코리아(주)","15세관람가",2,"드라마","멜로/로맨스","",1,"리들리 스콧","","",3,"러셀 크로우","마리옹 꼬띠아르","알버트 피니"
"549","내니맥피우리유모는마법사",2006-02-03,"1,085 ","내니맥피-우리 유모는 마법사","장편",247858,99,1295880000,216138,80,5297,"일반영화","2006-02-03","영국","UIP코리아","전체관람가",2,"코미디","가족","",1,"커크 존스","","",2,"엠마 톰슨","콜린 퍼스",""
"238","공작부인세기의스캔들",2008-10-16,"1,086 ","공작부인:세기의 스캔들","장편",247373,110,1594405000,250611,193,13417,"일반영화","2008-10-16","미국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",2,"사극","멜로/로맨스","",1,"사울 딥","","",2,"키이라 나이틀리","랄프 파인즈",""
"651","뉴욕은언제나사랑중",2009-03-12,"1,087 ","뉴욕은 언제나 사랑 중","장편",247138,90,1660430500,243432,222,14423,"일반영화","2009-03-12","미국","싸이더스 픽쳐스","15세이상관람가",2,"멜로/로맨스","코미디","",1,"그리핀 던","","",3,"우마 서먼","콜린 퍼스","제프리 딘 모건"
"3175","저스트프렌드",2006-12-07,"1,088 ","저스트 프렌드","장편",246431,94,1444893000,236759,139,9315,"일반영화","2006-12-07","미국","㈜스튜디오이쩜영","15세이상관람가",2,"코미디","멜로/로맨스","",1,"로저 컴블","","",2,"라이언 레이놀즈","에이미 스마트",""
"2962","월스트리트머니네버슬립스",2010-10-21,"1,089 ","월 스트리트: 머니 네버 슬립스","장편",245343,133,1760899000,241438,288,14013,"일반영화","2010-10-21","미국","이십세기폭스코리아(주)","12세이상관람가",3,"드라마","범죄","스릴러",1,"올리버 스톤","","",5,"샤이아 라보프","마이클 더글라스","캐리 뮬리건"
"926","디센트",2007-07-05,"1,090 ","디센트","장편",244949,98,1546430100,232248,181,11518,"일반영화","2007-07-05","영국","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가",3,"공포(호러)","스릴러","어드벤처",1,"닐 마샬","","",2,"쇼나 맥도날드","나탈리 잭슨 멘도자",""
"1854","빅피쉬",2004-03-05,"1,091 ","빅 피쉬","장편",244421,110,476625000,72239,14,1154,"일반영화","2004-03-05","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","12세관람가",1,"판타지","","",1,"팀 버튼","","",4,"빌리 크루덥","제시카 랭","이완 맥그리거"
"2663","엑스파일나는믿고싶다",2008-08-13,"1,092 ","엑스파일:나는 믿고싶다","장편",244338,104,1610013500,244023,238,13000,"일반영화","2008-08-13","미국","이십세기폭스필름코퍼레이션","15세이상관람가",3,"SF","미스터리","어드벤처",1,"크리스 카터","","",1,"데이비드 듀코브니","",""
"3182","적과의동침",2011-04-27,"1,093 ","적과의 동침","장편",243094,136,1740340000,243094,391,14069,"일반영화","2011-04-27","한국","쇼박스㈜미디어플렉스","12세이상관람가",2,"드라마","멜로/로맨스","",1,"박건용","","",16,"김주혁","유해진","정려원"
"1068","레드아이",2005-02-18,"1,094 ","레드 아이","장편",242842,98,1313457500,210793,86,7241,"일반영화","2005-02-18","한국","영화사청어람(주)","12세관람가",1,"공포(호러)","","",1,"김동빈","","",10,"송일국","장신영","곽지민"
"2071","소년천국에가다",2005-11-11,"1,095 ","소년, 천국에 가다","장편",242053,114,1258000500,207189,193,7884,"일반영화","2005-11-11","한국","쇼박스㈜미디어플렉스,영화사청어람(주)","12세관람가",1,"드라마","","",1,"윤태용","","",18,"염정아","박해일","홍수연"
"1761","브레이크업이별후애愛",2007-03-22,"1,096 ","브레이크 업 : 이별후애(愛)","장편",241676,105,1422274000,225195,159,11121,"일반영화","2007-03-22","미국","유니버설픽쳐스인터내셔널 코리아(유)","15세관람가",2,"코미디","멜로/로맨스","",1,"페이튼 리드","","",2,"제니퍼 애니스턴","빈스 본",""
"3103","인터내셔널",2009-02-26,"1,097 ","인터내셔널","장편",241669,117,1591408000,237869,199,12465,"일반영화","2009-02-26","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","청소년관람불가",3,"액션","스릴러","드라마",2,"톰 튀크베어","톰 티크베르","",2,"클라이브 오웬","나오미 왓츠",""
"3476","캡틴필립스",2013-10-23,"1,098 ","캡틴 필립스","장편",241514,134,1684527434,242268,312,10682,"일반영화","2013-10-23","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","15세이상관람가",2,"액션","드라마","",1,"폴 그린그래스","","",2,"톰 행크스","캐서린 키너",""
"891","두사람이다",2007-08-22,"1,099 ","두 사람이다","장편",241292,84,1505964500,224341,190,11411,"일반영화","2007-08-22","한국","영화사청어람(주),(주)엠엔에프씨","청소년관람불가",1,"공포(호러)","","",1,"오기환","","",12,"윤진서","이새별","이기우"
"3331","창문넘어도망친100세노인",2014-06-18,"1,100 ","창문 넘어 도망친 100세 노인","장편",240984,114,1825897453,241126,300,11181,"다양성영화","2014-06-18","스웨덴","(주)영화사 빅","15세이상관람가",3,"어드벤처","코미디","드라마",1,"플렉스 할그렌","","",3,"로버트 구스타프슨","이와 위클란더","앨런 포드"
"35","27번의결혼리허설",2008-03-06,"1,101 ","27번의 결혼리허설","장편",239674,110,1602927500,239739,221,13670,"일반영화","2008-03-06","미국","이십세기폭스필름코퍼레이션","15세이상관람가",2,"멜로/로맨스","코미디","",1,"앤 플레쳐","","",3,"캐서린 헤이글","제임스 마스던","번 코엔"
"1995","서약",2012-03-14,"1,102 ","서약","장편",239483,104,1810275500,239483,314,14635,"일반영화","2012-03-14","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","15세이상관람가",2,"드라마","멜로/로맨스","",1,"마이클 수치","","",2,"레이첼 맥아덤즈","채닝 테이텀",""
"179","게드전기어스시의전설",2006-08-10,"1,103 ","게드전기 : 어스시의 전설","장편",239067,115,1228276500,205490,143,6164,"일반영화","2006-08-10","일본","쇼박스㈜미디어플렉스","전체관람가",3,"애니메이션","판타지","어드벤처",1,"미야자키 고로","","",2,"오카다 준이치","스가와라 분타",""
"1895","사랑은너무복잡해",2010-03-11,"1,104 ","사랑은 너무 복잡해","장편",238073,120,1741752000,234083,180,12117,"다양성영화","2010-03-11","미국","유니버설픽쳐스인터내셔널 코리아(유)","청소년관람불가",2,"멜로/로맨스","코미디","",1,"낸시 마이어스","","",3,"메릴 스트립","알렉 볼드윈","스티브 마틴"
"3504","케이브",2005-10-20,"1,105 ","케이브","장편",238054,97,1355444500,214045,104,7481,"일반영화","2005-10-20","독일","씨제이엔터테인먼트(주)","12세관람가",1,"드라마","","",1,"브루스 헌트","","",2,"콜 하우저","모리스 체스넛",""
"4024","하우스오브왁스",2005-05-20,"1,106 ","하우스 오브 왁스","장편",237200,113,1479334000,227785,85,6551,"일반영화","2005-05-20","미국","워너브러더스 (주)","18세관람가",1,"공포(호러)","","",1,"자움 세라","","",1,"채드 마이클 머레이","",""
"1207","마강호텔",2007-02-22,"1,107 ","마강호텔","장편",237183,98,1247345300,215817,213,13301,"일반영화","2007-02-22","한국","쇼박스㈜미디어플렉스","15세이상관람가",2,"코미디","드라마","",1,"최성철","","",14,"김석훈","송요셉","김성은"
"327","그레이스오브모나코",2014-06-18,"1,108 ","그레이스 오브 모나코","장편",237114,103,1752777200,237136,358,13077,"다양성영화","2014-06-18","프랑스","쇼박스㈜미디어플렉스","12세이상관람가",1,"드라마","","",1,"올리비에 다한","","",3,"니콜 키드먼","팀 로스","프랭크 란젤라"
"3671","텍사스전기톱연쇄살인사건",2005-06-16,"1,109 ","텍사스 전기톱 연쇄살인사건","장편",236661,98,1294883500,201990,97,7637,"일반영화","2005-06-16","미국","쇼박스㈜미디어플렉스","18세관람가",1,"공포(호러)","","",1,"마커스 니스펠","","",1,"제시카 비엘","",""
"3264","줄리아의눈",2011-03-31,"1,110 ","줄리아의 눈","장편",236359,112,1827252000,236365,232,15411,"일반영화","2011-03-31","스페인","씨너스엔터테인먼트(주)","청소년관람불가",4,"미스터리","스릴러","범죄",1,"기옘 모랄레스","","",1,"벨렌 루에다","",""
"1058","레고무비",2014-02-06,"1,111 ","레고 무비","장편",236129,100,1601300200,236129,317,6703,"일반영화","2014-02-06","미국","워너브러더스 (주)","전체관람가",4,"애니메이션","코미디","액션",2,"필 로드","크리스 밀러","",7,"윌 페렐","리암 니슨","엘리자베스 뱅크스"
"2034","세이빙산타",2013-12-19,"1,112 ","세이빙 산타","장편",235711,84,1520177000,235707,400,5144,"일반영화","2013-12-19","영국","(주)영화사 빅","전체관람가",3,"애니메이션","코미디","가족",2,"레온 주센","아론 실먼","",5,"마틴 프리먼","팀 커리","신동엽"
"3584","클로저",2005-02-03,"1,113 ","클로저","장편",235466,98,1448878000,220185,89,6544,"일반영화","2005-02-03","미국","소니픽쳐스릴리징코리아","18세관람가",1,"드라마","","",1,"마이크 니콜스","","",2,"줄리아 로버츠","주드 로",""
"590","네버랜드를찾아서",2005-02-25,"1,114 ","네버랜드를 찾아서","장편",234427,101,1287392500,200339,52,4852,"일반영화","2005-02-25","미국","브에나비스타인터내셔널코리아","12세관람가",1,"드라마","","",1,"마크 포스터","","",3,"더스틴 호프만","케이트 윈슬렛","조니 뎁"
"1845","비행기",2013-12-19,"1,115 ","비행기","장편",233563,92,1671009500,233557,472,6230,"일반영화","2013-12-19","미국","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","전체관람가",1,"애니메이션","","",1,"클레이 홀","","",4,"발 킬머","테리 해처","세드릭 더 엔터테이너"
"148","강철대오구국의철가방",2012-10-25,"1,116 ","강철대오:구국의 철가방","장편",233211,113,1614867156,233211,366,15187,"일반영화","2012-10-25","한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",1,"코미디","","",1,"육상효","","",14,"김인권","유다인","조정석"
"2023","세븐파운즈",2009-02-05,"1,117 ","세븐 파운즈","장편",232972,123,1506896000,229799,191,10038,"일반영화","2009-02-05","미국","한국소니픽쳐스릴리징브에나비스타영화㈜","15세이상관람가",1,"드라마","","",1,"가브리엘 무치노","","",3,"윌 스미스","우디 해럴슨","로자리오 도슨"
"948","디파이언스",2009-01-08,"1,118 ","디파이언스","장편",232532,136,1524555000,228465,163,9257,"일반영화","2009-01-08","미국","(주)엠플러스픽쳐스","15세이상관람가",2,"드라마","전쟁","",1,"에드워드 즈윅","","",3,"다니엘 크레이그","제이미 벨","리브 슈라이버"
"2941","원스",2007-09-20,"1,119 ","원스","장편",232459,86,1525117000,225064,33,6463,"다양성영화","2007-09-20","아일랜드","(주)영화사 진진","전체관람가",1,"드라마","","",1,"존 카니","","",2,"글렌 하사드","마르케타 이글로바",""
"2341","심슨가족더무비",2007-08-22,"1,120 ","심슨가족, 더무비","장편",231382,86,1353774000,218027,167,8612,"일반영화","2007-08-22","미국","이십세기폭스필름코퍼레이션","12세이상관람가",3,"애니메이션","코미디","어드벤처",1,"데이빗 실버맨","","",2,"댄 카스텔라네타","줄리 캐브너",""
"3875","폐가",2010-08-19,"1,122 ","폐가","장편",229610,84,1586581500,225955,160,8769,"일반영화","2010-08-19","한국","(주)시너지하우스 (시너지)","15세이상관람가",1,"공포(호러)","","",1,"이철하","","",7,"신경선","윤이나","전인걸"
"1558","바벨",2007-02-22,"1,123 ","바벨","장편",229144,142,1392403500,216937,119,7209,"다양성영화","2007-02-22","멕시코","(주)엠케이픽처스","청소년관람불가",1,"드라마","","",1,"알레한드로 곤잘레스 이냐리투","","",3,"브래드 피트","케이트 블란쳇","아드리아나 바라자"
"3886","포스카인드",2010-02-25,"1,124 ","포스 카인드","장편",229014,97,1672315500,224808,186,13044,"일반영화","2010-02-25","미국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",3,"SF","미스터리","스릴러",1,"올라턴드 오선샌미","","",2,"밀라 요보비치","윌 패튼",""
"3489","컨테이젼",2011-09-22,"1,125 ","컨테이젼","장편",228899,103,1782554000,228899,226,13090,"일반영화","2011-09-22","미국","워너브러더스 (주)","12세이상관람가",4,"액션","SF","스릴러",1,"스티븐 소더버그","","",2,"맷 데이먼","기네스 팰트로우",""
"2375","쓰리데이즈투킬",2014-04-03,"1,126 ","쓰리데이즈 투 킬","장편",228539,116,1748793200,229644,388,13766,"일반영화","2014-04-03","미국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",2,"액션","스릴러","",1,"맥지","","",6,"케빈 코스트너","엠버 허드","헤일리 스테인펠드"
"359","극장판도라에몽진구의공룡대탐험",2009-07-15,"1,127 ","극장판 도라에몽: 진구의 공룡대탐험","장편",228143,107,1461905000,225087,145,6214,"일반영화","2009-07-15","일본","대원미디어㈜","전체관람가",4,"애니메이션","가족","SF",1,"와타나베 아유무","","",1,"미즈타 와사비","",""
"3469","캐빈인더우즈",2012-06-28,"1,128 ","캐빈 인 더 우즈","장편",228090,95,1710273500,228090,288,11889,"일반영화","2012-06-28","미국","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가",2,"공포(호러)","스릴러","",1,"드류 고다드","","",6,"크리스 헴스워스","크리스틴 코놀리","안나 허치슨"
"1565","바빌론AD",2008-10-02,"1,129 ","바빌론 A.D.","장편",227354,90,1496477500,229622,164,11839,"일반영화","2008-10-02","미국","이십세기폭스코리아(주)","12세이상관람가",3,"SF","스릴러","액션",1,"마티유 카소비츠","","",3,"빈 디젤","멜라니 티에리","양자경"
"45","444",2007-06-20,"1,130 ","4.4.4","장편",226112,94,1403985500,208645,142,11949,"일반영화","2007-06-20","미국","쇼박스㈜미디어플렉스","청소년관람불가",3,"범죄","공포(호러)","스릴러",1,"롤랑 조페","","",2,"엘리샤 커스버트","다니엘 길리스",""
"364","극장판루팡3세VS명탐정코난",2014-05-29,"1,131 ","극장판 루팡 3세 VS 명탐정 코난","장편",225842,107,1585872205,225842,327,5429,"일반영화","2014-05-29","일본","씨제이이앤엠(주)","12세이상관람가",1,"애니메이션","","",1,"카메가키 하지메","","",2,"강수진","김선혜",""
"4074","해변의여인",2006-08-31,"1,132 ","해변의 여인","장편",225388,127,1009387200,159571,141,6989,"다양성영화","2006-08-31","한국","㈜미로비젼","15세관람가",2,"드라마","멜로/로맨스","",1,"홍상수","","",4,"고현정","김승우","김태우"
"3159","잡스",2013-08-29,"1,133 ","잡스","장편",225146,127,1594901136,225343,402,12017,"일반영화","2013-08-29","미국","(주)넥스트엔터테인먼트월드(NEW)","12세이상관람가",1,"드라마","","",1,"조슈아 마이클 스턴","","",4,"애쉬튼 커처","조시 게드","더못 멀로니"
"129","가필드2",2006-07-27,"1,134 ","가필드 2","장편",224893,77,1045727100,185231,97,5015,"일반영화","2006-07-27","미국","이십세기폭스코리아(주)","전체관람가",2,"애니메이션","코미디","",1,"팀 힐","","",2,"빌 머레이","브레킨 메이어",""
"1722","분노의윤리학",2013-02-21,"1,135 ","분노의 윤리학","장편",224891,110,1658653000,225618,302,11909,"일반영화","2013-02-21","한국","롯데쇼핑㈜롯데엔터테인먼트","청소년관람불가",2,"스릴러","드라마","",1,"박명랑","","",5,"이제훈","조진웅","김태훈"
"4046","한공주",2014-04-17,"1,136 ","한공주","장편",224030,112,1780605800,224386,226,12439,"다양성영화","2014-04-17","한국","CGV 무비꼴라쥬","청소년관람불가",1,"드라마","","",1,"이수진","","",7,"천우희","우혜진","정인선"
"1150","록키발보아",2007-02-14,"1,137 ","록키 발보아","장편",223666,102,1233424500,196971,193,10900,"일반영화","2007-02-14","미국","이십세기폭스필름코퍼레이션","12세이상관람가",2,"드라마","액션","",1,"실베스터 스탤론","","",2,"실베스터 스탤론","버트 영",""
"2515","알파앤오메가",2011-02-24,"1,138 ","알파 앤 오메가","장편",222953,88,1685788500,222953,230,6172,"일반영화","2011-02-24","미국","(주)넥스트엔터테인먼트월드(NEW)","전체관람가",4,"애니메이션","어드벤처","코미디",2,"안소니 벨","벤 글럭","",4,"헤이든 파네티어","저스틴 롱","박규리"
"3113","일라이",2010-04-15,"1,139 ","일라이","장편",222927,117,1634626500,219196,253,15862,"일반영화","2010-04-15","미국","쇼박스㈜미디어플렉스","15세이상관람가",5,"액션","어드벤처","드라마",2,"알렌 휴즈","알버트 휴즈","",2,"덴젤 워싱턴","게리 올드만",""
"1235","마마",2011-06-01,"1,140 ","마마","장편",222731,110,1642407500,243209,269,12667,"일반영화","2011-06-01","한국","롯데쇼핑㈜롯데엔터테인먼트","12세이상관람가",1,"드라마","","",1,"최익환","","",23,"엄정화","김해숙","유해진"
"1236","마마",2011-06-01,"1,140 ","마마","장편",222731,110,1642407500,243209,269,12667,"일반영화","2013-01-23","미국","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가",2,"공포(호러)","스릴러","",1,"앤드레스 무시에티","","",2,"제시카 차스테인","니콜라이 코스터 왈도",""
"3511","코렐라인비밀의문",2009-05-21,"1,141 ","코렐라인: 비밀의 문","장편",222594,100,1427050000,219260,250,8583,"일반영화","2009-05-21","미국","","전체관람가",5,"애니메이션","가족","판타지",1,"헨리 셀릭","","",2,"테리 해처","다코타 패닝",""
"2267","시",2010-05-13,"1,142 ","시","장편",222017,139,1543441350,218514,165,11711,"다양성영화","2010-05-13","한국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",1,"드라마","","",1,"이창동","","",20,"윤정희","이다윗","김희라"
"127","가족의탄생",2006-05-18,"1,143 ","가족의 탄생","장편",221925,113,1225493500,201204,155,7949,"다양성영화","2006-05-18","한국","롯데쇼핑㈜롯데엔터테인먼트","15세관람가",1,"드라마","","",1,"김태용","","",11,"문소리","엄태웅","고두심"
"4116","헤라클레스레전드비긴즈",2014-04-10,"1,144 ","헤라클레스 : 레전드 비긴즈","장편",221327,99,1662172151,221327,390,14217,"일반영화","2014-04-10","미국","(주)넥스트엔터테인먼트월드(NEW)","15세이상관람가",2,"액션","판타지","",1,"레니 할린","","",2,"스콧 애드킨스","켈란 러츠",""
"612","노미오와줄리엣",2011-04-14,"1,145 ","노미오와 줄리엣","장편",221176,84,1937314000,221195,291,10148,"일반영화","2011-04-14","영국","쇼박스㈜미디어플렉스","전체관람가",5,"애니메이션","코미디","가족",1,"켈리 애스버리","","",4,"에밀리 블런트","지연","이준"
"992","라이어",2004-04-23,"1,146 ","라이어","장편",220531,114,706033000,108156,51,3092,"일반영화","2004-04-23","한국","씨제이엔터테인먼트(주)","18세관람가",2,"코미디","멜로/로맨스","",1,"김경형","","",6,"주진모","공형진","서영희"
"2906","우리집에왜왔니",2009-04-09,"1,147 ","우리 집에 왜 왔니","장편",219962,107,1411607500,217478,225,14538,"일반영화","2009-04-09","한국","롯데쇼핑㈜롯데엔터테인먼트","15세이상관람가",3,"드라마","멜로/로맨스","코미디",1,"황수아","","",9,"강혜정","박희순","문재원"
"3814","패스트앤퓨리어스도쿄드리프트",2006-07-20,"1,148 ","패스트 앤 퓨리어스 도쿄 드리프트","장편",218381,103,1104122500,179396,131,6815,"일반영화","2006-07-20","미국","UIP코리아","12세관람가",2,"액션","범죄","",1,"저스틴 린","","",3,"루카스 블랙","성 강","브라이언 티"
"2106","수",2007-03-22,"1,149 ","수","장편",218314,122,1208282000,199709,209,12450,"일반영화","2007-03-22","한국","(주)시네마서비스","청소년관람불가",1,"액션","","",1,"최양일","","",16,"지진희","강성연","최정우"
"2610","언데드",2009-02-26,"1,150 ","언데드","장편",217924,87,1427608500,214638,171,12028,"일반영화","2009-02-26","미국","유니버설픽쳐스인터내셔널 코리아(유)","15세이상관람가",2,"공포(호러)","스릴러","",1,"데이빗 S. 고이어","","",3,"오데뜨 유스트만","게리 올드만","메간 굿"
"451","나는공무원이다",2012-07-12,"1,151 ","나는 공무원이다","장편",217493,101,1537947500,217719,278,10866,"일반영화","2012-07-12","한국","(주)넥스트엔터테인먼트월드(NEW)","전체관람가",2,"코미디","드라마","",1,"구자홍","","",5,"윤제문","송하윤","성준"
"3310","짱구는못말려극장판태풍을부르는나와우주의프린세스",2013-04-25,"1,152 ","짱구는 못말려 극장판:태풍을 부르는 나와 우주의 프린세스","장편",217320,109,1430168500,217320,328,5977,"일반영화","2013-04-25","일본","롯데쇼핑㈜롯데엔터테인먼트","전체관람가",1,"애니메이션","","",1,"마스이 소이치","","",0,"","",""
"1363","메카닉",2011-02-24,"1,153 ","메카닉","장편",217077,92,1666463000,217077,226,11051,"일반영화","2011-02-24","미국","씨너스엔터테인먼트(주)","청소년관람불가",3,"드라마","액션","스릴러",1,"사이먼 웨스트","","",2,"제이슨 스타뎀","벤 포스터",""
"1915","사랑할때이야기하는것들",2006-11-30,"1,154 ","사랑할 때 이야기하는 것들","장편",216876,114,1251587700,200836,195,10418,"일반영화","2006-11-30","한국","(주)시네마서비스","15세이상관람가",2,"멜로/로맨스","드라마","",1,"변승욱","","",12,"한석규","전소영","김지수"
